C.C.,Receivable
7665,14575
7608,10575
7615,25150
7616,25150
7620,12575
7631,12575
7649,14575
7701,10575
7721,14575
7738,14575
7739,14575
7746,14575
7747,14575
7753,14575
7614,12575
7626,12575
7700,29150
7730,14575
7748,14575
7596,12575
7646,149175
7689,14575
7600,12575
7641,12575
7607,11575
7647,12575
7606,12575
7645,49725
7819,14575
7798,14575
7792,14575
7790,14575
7770,29150
7764,14575
7766,14575
7765,14575
7767,14575
7791,29150
7786,14575
7799,14575
7793,14575
7794,14575
7821,29150
7827,14575
7828,14575
7834,14575
7773,14575
7843,12660
7847,14575
7852,14575
7855,14575
7878,14975
7879,14975
7884,14975
7885,34958
7891,14975
7900,14575
7946,12950
7947,28551
7948,34000
7969,24550
,24550
7971,14575
,T: 1210219
