C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
7665,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7608,10575,21150,MISMATCH,10575,1,0,2,0,0,0,"NOT_ISSUED(+10575) | NOT_ISSUED(+10575)"
7615,25150,25150,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+12575) | ISSUED(+12575)"
7616,25150,25150,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+12575) | ISSUED(+12575)"
7620,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7631,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7649,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7701,10575,10575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10575)"
7721,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7738,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7739,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7746,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7747,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7753,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7614,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7626,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7700,29150,29150,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+14575) | ISSUED(+14575)"
7730,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7748,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7596,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
