C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
4594,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
5178,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
5313,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
5827,31990,31990,MATCH,0,1,1,1,0,0,0,"ISSUED(+15995) | NOT_ISSUED(+15995)"
7464,11250,7500,MISMATCH,-3750,0,2,0,0,0,0,"ISSUED(+3750) | ISSUED(+3750)"
7581,23990,23990,MATCH,0,1,1,1,0,0,0,"ISSUED(+11995) | NOT_ISSUED(+11995)"
7584,23990,23990,MATCH,0,2,1,1,0,0,0,"ISSUED(+11995) | NOT_ISSUED(+11995)"
4188,27990,27990,MATCH,0,1,1,1,0,0,0,"ISSUED(+13995) | NOT_ISSUED(+13995)"
4330,13995,13995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13995)"
5063,15995,15995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15995)"
5589,87890,87890,MATCH,0,0,5,1,0,0,0,"ISSUED(+15995) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | NOT_ISSUED(+15995)"
6318,15995,15995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15995)"
6616,16995,16995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16995)"
7252,15995,15995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15995)"
7277,39965,39965,MATCH,0,0,2,1,0,0,0,"ISSUED(+11975) | ISSUED(+13995) | NOT_ISSUED(+13995)"
7419,15995,15995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15995)"
7622,11995,11995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11995)"
7697,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
7703,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
7724,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
4132,29990,29990,MATCH,0,1,1,1,0,0,0,"ISSUED(+14995) | NOT_ISSUED(+14995)"
4338,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
4354,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
4451,14995,14995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14995)"
5952,43965,43965,MATCH,0,0,2,1,0,0,0,"ISSUED(+13975) | ISSUED(+14995) | NOT_ISSUED(+14995)"
6860,130115,85890,MISMATCH,-44225,0,5,1,0,0,0,"ISSUED(+14995) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | NOT_ISSUED(+14995)"
