C.C.,Receivable
6947,3293
7143,25950
7544,69875
7551,69875
7552,69875
7710,12575
6519,10975
6946,10975
7545,69875
6145,10975
6589,32925
6662,27950
6692,4193
6918,120725
6921,10975
7088,11975
7262,13975
6231,9975
7562,12575
7709,12575
5571,11975
5572,4193
6146,10975
7144,53925
7145,10975
7184,11975
7222,27950
7441,23950
7547,13975
7711,37725
7713,12575
7221,13975
7553,55900
7563,12575
7712,12575
7756,12575
6596,3593
6869,11975
6538,10975
6518,11975
6602,21950
7805,12575
7806,12575
7825,12575
7569,10975
7745,25150
7841,50300
6230,9975
7851,12575
7853,12575
7854,12575
,T: 1172197
