C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
6947,3293,3293,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+3293)"
7143,25950,25950,MATCH,0,3,1,1,0,0,0,"ISSUED(+12975) | NOT_ISSUED(+12975)"
7544,69875,69875,MATCH,0,0,4,1,0,0,0,"NOT_ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975)"
7551,69875,69875,MATCH,0,0,4,1,0,0,0,"NOT_ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975)"
7552,69875,41925,MISMATCH,-27950,0,2,1,0,0,0,"NOT_ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975)"
7710,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
6519,10975,10975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+10975)"
6946,10975,10975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10975)"
7545,69875,69875,MATCH,0,0,4,1,0,0,0,"NOT_ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975)"
6145,10975,10975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10975)"
6589,32925,43900,MISMATCH,10975,0,3,1,0,0,0,"NOT_ISSUED(+10975) | ISSUED(+10975) | ISSUED(+10975) | ISSUED(+10975)"
6662,27950,27950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+13975) | ISSUED(+13975)"
6692,4193,4193,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+4193)"
6918,120725,65850,MISMATCH,-54875,0,5,1,0,0,0,"ISSUED(+10975) | NOT_ISSUED(+10975) | ISSUED(+10975) | ISSUED(+10975) | ISSUED(+10975) | ISSUED(+10975)"
6921,10975,10975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10975)"
7088,11975,11975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11975)"
7262,13975,13975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13975)"
6231,9975,9975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+9975)"
7562,12575,37725,MISMATCH,25150,0,2,1,0,0,0,"ISSUED(+12575) | NOT_ISSUED(+12575) | ISSUED(+12575)"
7709,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
5571,11975,11975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11975)"
5572,4193,4193,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+4193)"
6146,10975,10975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10975)"
7144,53925,53925,MATCH,0,0,2,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975) | ISSUED(+17975)"
7145,10975,10975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10975)"
7184,11975,11975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11975)"
7222,27950,27950,MATCH,0,1,1,1,0,0,0,"ISSUED(+13975) | NOT_ISSUED(+13975)"
7441,23950,23950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+11975) | ISSUED(+11975)"
7547,13975,13975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13975)"
7711,37725,37725,MATCH,0,1,2,1,0,0,0,"NOT_ISSUED(+12575) | ISSUED(+12575) | ISSUED(+12575)"
7713,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7221,13975,13975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+13975)"
7553,55900,55900,MATCH,0,0,3,1,0,0,0,"ISSUED(+13975) | NOT_ISSUED(+13975) | ISSUED(+13975) | ISSUED(+13975)"
7563,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7712,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7756,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
6596,3593,3593,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+3593)"
6869,11975,11975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11975)"
6538,10975,10975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+10975)"
6518,11975,11975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+11975)"
6602,21950,21950,MATCH,0,3,1,1,0,0,0,"NOT_ISSUED(+10975) | ISSUED(+10975)"
7805,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7806,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
7825,12575,12575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+12575)"
