cc,status
7525,Only in missing_fees.csv
7116,Only in missing_fees.csv
7402,Only in missing_fees.csv
6888,Only in missing_fees.csv
7788,Only in missing_fees.csv
7817,Only in missing_fees.csv
7899,Only in missing_fees.csv
7904,Only in missing_fees.csv
7905,Only in missing_fees.csv
7906,Only in missing_fees.csv
7910,Only in missing_fees.csv
7911,Only in missing_fees.csv
7912,Only in missing_fees.csv
7915,Only in missing_fees.csv
7914,Only in missing_fees.csv
7916,Only in missing_fees.csv
7917,Only in missing_fees.csv
7918,Only in missing_fees.csv
7766,Only in missing_fees.csv
7901,Only in missing_fees.csv
7902,Only in missing_fees.csv
7907,Only in missing_fees.csv
7913,Only in missing_fees.csv
7909,Only in missing_fees.csv
7908,Only in missing_fees.csv
7608,Only in cleaned_fees_heads.csv
7615,Only in cleaned_fees_heads.csv
7616,Only in cleaned_fees_heads.csv
7620,Only in cleaned_fees_heads.csv
7631,Only in cleaned_fees_heads.csv
7649,Only in cleaned_fees_heads.csv
7701,Only in cleaned_fees_heads.csv
7721,Only in cleaned_fees_heads.csv
7738,Only in cleaned_fees_heads.csv
7739,Only in cleaned_fees_heads.csv
7746,Only in cleaned_fees_heads.csv
7747,Only in cleaned_fees_heads.csv
7753,Only in cleaned_fees_heads.csv
7764,Only in cleaned_fees_heads.csv
7765,Only in cleaned_fees_heads.csv
7770,Only in cleaned_fees_heads.csv
7773,Only in cleaned_fees_heads.csv
7819,Only in cleaned_fees_heads.csv
7847,Only in cleaned_fees_heads.csv
7852,Only in cleaned_fees_heads.csv
7855,Only in cleaned_fees_heads.csv
7876,Only in cleaned_fees_heads.csv
7877,Only in cleaned_fees_heads.csv
7885,Only in cleaned_fees_heads.csv
7891,Only in cleaned_fees_heads.csv
7614,Only in cleaned_fees_heads.csv
7626,Only in cleaned_fees_heads.csv
7700,Only in cleaned_fees_heads.csv
7730,Only in cleaned_fees_heads.csv
7744,Only in cleaned_fees_heads.csv
7748,Only in cleaned_fees_heads.csv
7767,Only in cleaned_fees_heads.csv
7665,Only in cleaned_fees_heads.csv
7790,Only in cleaned_fees_heads.csv
7792,Only in cleaned_fees_heads.csv
7798,Only in cleaned_fees_heads.csv
7821,Only in cleaned_fees_heads.csv
7827,Only in cleaned_fees_heads.csv
7834,Only in cleaned_fees_heads.csv
7878,Only in cleaned_fees_heads.csv
7879,Only in cleaned_fees_heads.csv
7887,Only in cleaned_fees_heads.csv
7596,Only in cleaned_fees_heads.csv
7646,Only in cleaned_fees_heads.csv
7689,Only in cleaned_fees_heads.csv
7786,Only in cleaned_fees_heads.csv
7791,Only in cleaned_fees_heads.csv
7799,Only in cleaned_fees_heads.csv
7843,Only in cleaned_fees_heads.csv
7600,Only in cleaned_fees_heads.csv
7641,Only in cleaned_fees_heads.csv
7793,Only in cleaned_fees_heads.csv
7828,Only in cleaned_fees_heads.csv
7607,Only in cleaned_fees_heads.csv
7647,Only in cleaned_fees_heads.csv
7794,Only in cleaned_fees_heads.csv
7606,Only in cleaned_fees_heads.csv
7645,Only in cleaned_fees_heads.csv
7884,Only in cleaned_fees_heads.csv
7806,Only in cleaned_fees_heads.csv
7824,Only in cleaned_fees_heads.csv
7825,Only in cleaned_fees_heads.csv
7864,Only in cleaned_fees_heads.csv
7221,Only in cleaned_fees_heads.csv
