C.C.,Receivable
4594.0,12975
5178.0,13975
5313.0,13775
5827.0,5392
7584.0,9550
4188.0,12975
4330.0,3893
5063.0,12975
6318.0,13975
6616.0,15975
7252.0,13975
7419.0,14975
7622.0,9550
7697.0,12575
7703.0,12975
7724.0,12575
4132.0,13975
4338.0,3893
4354.0,13975
4451.0,13975
6996.0,13975
7356.0,13975
7582.0,10550
7590.0,9550
7690.0,10000
7696.0,13575
4150.0,19975
4181.0,13975
4309.0,10500
4784.0,13975
4797.0,13975
5286.0,12975
6580.0,13975
6903.0,13975
7307.0,13975
7571.0,10550
7591.0,10550
7595.0,10550
7604.0,10550
3896.0,13975
3923.0,13975
4003.0,4192
4178.0,13975
4316.0,13975
4583.0,13975
4929.0,13975
5882.0,13975
6357.0,13975
6737.0,13975
6770.0,13975
7044.0,13975
7071.0,13975
7093.0,13975
7163.0,13975
7375.0,11975
7392.0,14975
7412.0,13975
4031.0,13975
4148.0,13975
4290.0,13975
4479.0,14975
4655.0,14975
4994.0,13975
5021.0,13975
5369.0,13975
6319.0,14975
6588.0,13975
6724.0,13975
6758.0,13975
7052.0,13975
7146.0,13975
7278.0,13975
7289.0,12500
7290.0,12500
7352.0,17975
7378.0,15975
7192.0,32500
7199.0,7500
7204.0,8000
7213.0,37000
7240.0,42500
7261.0,21250
7331.0,8750
7397.0,5000
7413.0,15575
7410.0,41250
7380.0,22500
7396.0,41250
7409.0,36250
7429.0,22500
7452.0,27500
7474.0,10000
7495.0,30000
7492.0,16250
7489.0,22500
7512.0,11250
7501.0,32500
7523.0,5000
7528.0,7500
7518.0,25000
7525.0,11250
7554.0,35000
7560.0,45000
7737.0,22500
7515.0,27500
7543.0,14575
7572.0,14575
7640.0,16575
7654.0,14575
7666.0,16575
7673.0,16575
7598.0,14575
7720.0,18575
7731.0,17975
7686.0,16575
4223.0,19975
4224.0,19975
4258.0,17975
4267.0,18975
4279.0,18975
4284.0,18975
4300.0,0
4350.0,19975
4388.0,19975
4398.0,18975
4847.0,18975
4934.0,19975
5016.0,19975
5130.0,18975
5134.0,17975
5305.0,19975
5400.0,18975
5402.0,18975
5762.0,18975
6379.0,19975
6400.0,18975
6422.0,5993
6507.0,19975
6717.0,18975
7046.0,17975
7246.0,18975
7253.0,20975
7273.0,19975
7336.0,0
7341.0,22575
7365.0,22575
7372.0,18975
7376.0,22575
7539.0,19575
7570.0,20575
7579.0,20575
7588.0,20575
7605.0,20575
7630.0,20575
7635.0,20575
7657.0,11788
7656.0,11788
7664.0,20575
7726.0,22575
7728.0,19975
7740.0,22575
5697.0,15975
5747.0,16975
6273.0,17975
6394.0,15975
6425.0,16975
6784.0,16975
7448.0,16975
7565.0,17575
7602.0,15575
4577.0,16975
5079.0,16975
5205.0,16975
5344.0,15975
5345.0,15975
5450.0,17575
6141.0,17975
6451.0,19975
7275.0,14975
7308.0,17975
7403.0,16975
7634.0,17575
7727.0,16975
5059.0,17975
6113.0,16975
6353.0,14975
6423.0,15975
6503.0,19975
7244.0,19975
7255.0,19975
7265.0,13975
7524.0,17975
7574.0,17575
7593.0,17575
7650.0,24469
7680.0,17575
7736.0,19575
4554.0,5092
4575.0,18975
4585.0,16975
4587.0,15975
4708.0,13975
4848.0,15975
4914.0,16975
5116.0,16975
5543.0,15975
6744.0,18975
7180.0,18975
7294.0,17975
7325.0,18975
7339.0,15000
7735.0,20575
7741.0,18575
4471.0,15975
4533.0,16975
4574.0,16975
4588.0,15975
4613.0,16975
4837.0,15106
4961.0,15975
4997.0,13832
5051.0,16975
5115.0,16975
5149.0,17975
5189.0,15975
5363.0,17975
5801.0,16975
6258.0,17975
6641.0,17975
4561.0,16975
4608.0,18975
4607.0,18975
4971.0,16975
5119.0,16975
5846.0,16975
6355.0,16975
5724.0,15075
7104.0,13975
7284.0,16975
7564.0,18575
7648.0,18575
7704.0,15575
7718.0,20575
4444.0,18975
4534.0,17975
4578.0,17975
4612.0,17975
4735.0,17975
4770.0,17975
4962.0,17975
5304.0,17975
5333.0,17975
5416.0,17975
5752.0,22975
5782.0,17975
5937.0,0
6278.0,17975
6587.0,18975
6705.0,18975
6711.0,19975
7125.0,18575
7238.0,20975
7242.0,18975
7256.0,21975
7338.0,15000
7509.0,18975
7587.0,19575
7601.0,19575
7674.0,19575
7679.0,19575
4289.0,17975
4296.0,15975
4728.0,16975
4768.0,17975
4785.0,17975
4870.0,5392
5347.0,19975
6647.0,18975
6963.0,18975
7029.0,18975
7555.0,15975
7625.0,19575
7627.0,17575
4348.0,17975
4353.0,15975
4431.0,19975
4467.0,22975
5133.0,17975
5208.0,17975
5371.0,17975
5761.0,17975
5828.0,17975
5983.0,19975
6213.0,18975
6271.0,18975
6482.0,18975
6781.0,0
6806.0,18975
7111.0,17975
7274.0,14975
7287.0,14975
7438.0,16975
7450.0,17975
7469.0,16975
7561.0,16575
7652.0,24316
7719.0,17975
7732.0,17975
7671.0,18575
