[MISMATCH] CC: 7584 | Receivable: 9550 | DB Sum: 19100 | Diff: -9550
[MISMATCH] CC: 7356 | Receivable: 13975 | DB Sum: 30125 | Diff: -16150
[MISMATCH] CC: 7582 | Receivable: 10550 | DB Sum: 21100 | Diff: -10550
[MISMATCH] CC: 7690 | Receivable: 10000 | DB Sum: 20000 | Diff: -10000
[MISMATCH] CC: 7595 | Receivable: 10550 | DB Sum: 21100 | Diff: -10550
[MISMATCH] CC: 4929 | Receivable: 13975 | DB Sum: 27950 | Diff: -13975
[MISMATCH] CC: 7163 | Receivable: 13975 | DB Sum: 27950 | Diff: -13975
[MISMATCH] CC: 7375 | Receivable: 11975 | DB Sum: 23950 | Diff: -11975
[MISMATCH] CC: 7392 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 4479 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 6319 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[MISMATCH] CC: 7192 | Receivable: 32500 | DB Sum: 7500 | Diff: 25000
[MISMATCH] CC: 7213 | Receivable: 37000 | DB Sum: 12000 | Diff: 25000
[MISMATCH] CC: 7240 | Receivable: 42500 | DB Sum: 17500 | Diff: 25000
[MISMATCH] CC: 7410 | Receivable: 41250 | DB Sum: 16250 | Diff: 25000
[MISMATCH] CC: 7396 | Receivable: 41250 | DB Sum: 16250 | Diff: 25000
[MISMATCH] CC: 7409 | Receivable: 36250 | DB Sum: 11250 | Diff: 25000
[MISMATCH] CC: 7495 | Receivable: 30000 | DB Sum: 5000 | Diff: 25000
[MISMATCH] CC: 7501 | Receivable: 32500 | DB Sum: 7500 | Diff: 25000
[MISMATCH] CC: 7554 | Receivable: 35000 | DB Sum: 5000 | Diff: 30000
[MISMATCH] CC: 7560 | Receivable: 45000 | DB Sum: 20000 | Diff: 25000
[MISMATCH] CC: 7737 | Receivable: 22500 | DB Sum: 27500 | Diff: -5000
[MISMATCH] CC: 4300 | Receivable: 0 | DB Sum: 19575 | Diff: -19575
[MISMATCH] CC: 5762 | Receivable: 18975 | DB Sum: 56925 | Diff: -37950
[MISMATCH] CC: 6507 | Receivable: 19975 | DB Sum: 39950 | Diff: -19975
[MISMATCH] CC: 7336 | Receivable: 0 | DB Sum: 59925 | Diff: -59925
[MISMATCH] CC: 7605 | Receivable: 20575 | DB Sum: 41150 | Diff: -20575
[MISMATCH] CC: 7664 | Receivable: 20575 | DB Sum: 41150 | Diff: -20575
[MISMATCH] CC: 7726 | Receivable: 22575 | DB Sum: 19975 | Diff: 2600
[MISMATCH] CC: 5697 | Receivable: 15975 | DB Sum: 16975 | Diff: -1000
[MISMATCH] CC: 6425 | Receivable: 16975 | DB Sum: 33950 | Diff: -16975
[MISMATCH] CC: 6451 | Receivable: 19975 | DB Sum: 39950 | Diff: -19975
[MISMATCH] CC: 5543 | Receivable: 15975 | DB Sum: 31950 | Diff: -15975
[MISMATCH] CC: 7294 | Receivable: 17975 | DB Sum: 18975 | Diff: -1000
[MISMATCH] CC: 7339 | Receivable: 15000 | DB Sum: 30000 | Diff: -15000
[MISMATCH] CC: 5189 | Receivable: 15975 | DB Sum: 47925 | Diff: -31950
[MISMATCH] CC: 6641 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 4607 | Receivable: 18975 | DB Sum: 37950 | Diff: -18975
[MISMATCH] CC: 4612 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 5782 | Receivable: 17975 | DB Sum: 35950 | Diff: -17975
[MISMATCH] CC: 7338 | Receivable: 15000 | DB Sum: 30000 | Diff: -15000
