cc,receivable_in_missing,sum_in_heads,diff,status,anomalies
6357,13975,0,13975,MISMATCH,"PAID WHOLE SESSION FEES"
7452,27500,0,27500,MISMATCH,"PAID WHOLE SESSION FEES"
7525,11250,0,11250,MISMATCH,""
7572,14575,0,14575,MISMATCH,"PAID WHOLE SESSION FEES"
7720,18575,0,18575,MISMATCH,"PAID WHOLE SESSION FEES"
7731,17975,0,17975,MISMATCH,"PAID WHOLE SESSION FEES"
4934,19975,0,19975,MISMATCH,"PAID WHOLE YEAR FEES"
7341,22575,0,22575,MISMATCH,"PAID WHOLE YEAR FEES"
7365,22575,0,22575,MISMATCH,"PAID WHOLE YEAR FEES"
7372,18975,0,18975,MISMATCH,"PAID WHOLE YEAR FEES"
7376,22575,0,22575,MISMATCH,"PAID WHOLE YEAR FEES"
7539,19575,0,19575,MISMATCH,"PAID WHOLE YEAR FEES"
7570,20575,0,20575,MISMATCH,"PAID WHOLE YEAR FEES"
7403,16975,0,16975,MISMATCH,"PAID WHOLE SESSION FEES"
5059,17975,0,17975,MISMATCH,"PAID WHOLE SESSION FEES"
6353,14975,0,14975,MISMATCH,"PAID WHOLE SESSION FEES"
5149,17975,0,17975,MISMATCH,"PAID WHOLE SESSION FEES"
6355,16975,0,16975,MISMATCH,"PAID WHOLE SESSION FEES"
7564,18575,0,18575,MISMATCH,"PAID WHOLE SESSION FEES"
5333,17975,0,17975,MISMATCH,"PAID WHOLE SESSION FEES"
7125,18575,0,18575,MISMATCH,"PAID WHOLE SESSION FEES"
7291,16575,0,16575,MISMATCH,"PAID WHOLE SESSION FEES"
7670,18575,0,18575,MISMATCH,"PAID WHOLE SESSION FEES"
7156,16975,0,16975,MISMATCH,"PAID WHOLE SESSION FEES"
7203,13975,0,13975,MISMATCH,"PAID WHOLE SESSION FEES"
6792,16575,0,16575,MISMATCH,"PAID WHOLE SESSION FEES"
7127,16575,0,16575,MISMATCH,"PAID WHOLE SESSION FEES"
7395,16575,0,16575,MISMATCH,"PAID WHOLE SESSION FEES"
7644,15550,0,15550,MISMATCH,"PAID WHOLE SESSION FEES"
7113,13975,0,13975,MISMATCH,"PAID WHOLE SESSION FEES"
7116,17975,0,17975,MISMATCH,""
7304,15000,0,15000,MISMATCH,"PAID TILL JUNE 2026"
6354,14166,0,14166,MISMATCH,"PAID WHOLE SESSION FEES"
7034,15975,0,15975,MISMATCH,"PAID WHOLE SESSION FEES"
7130,16975,0,16975,MISMATCH,"PAID WHOLE SESSION FEES"
7402,16975,0,16975,MISMATCH,""
7126,16975,0,16975,MISMATCH,"PAID WHOLE SESSION FEES"
6106,17975,0,17975,MISMATCH,"PAID WHOLE SESSION FEES"
6888,18975,0,18975,MISMATCH,""
7128,15975,0,15975,MISMATCH,"PAID WHOLE SESSION FEES"
5553,18975,0,18975,MISMATCH,"PAID WHOLE SESSION FEES"
6356,12575,0,12575,MISMATCH,"PAID WHOLE SESSION FEES"
4074,18975,0,18975,MISMATCH,"PAID WHOLE SESSION FEES"
3669,21975,0,21975,MISMATCH,"PAID WHOLE SESSION FEES"
7371,15975,0,15975,MISMATCH,"PAID WHOLE SESSION FEES"
6889,17975,0,17975,MISMATCH,"PAID WHOLE SESSION FEES"
5560,16975,0,16975,MISMATCH,"PAID WHOLE SESSION FEES"
7788,19975,0,19975,MISMATCH,""
7787,12975,0,12975,MISMATCH,"PAID TILL JUNE 2026"
7817,23575,0,23575,MISMATCH,""
7899,39950,0,39950,MISMATCH,""
7904,19975,0,19975,MISMATCH,""
7905,19975,0,19975,MISMATCH,""
7906,39950,0,39950,MISMATCH,""
7910,45950,0,45950,MISMATCH,""
7911,43950,0,43950,MISMATCH,""
7912,39950,0,39950,MISMATCH,""
7915,19950,0,19950,MISMATCH,""
7914,19975,0,19975,MISMATCH,""
7916,172600,0,172600,MISMATCH,""
7917,47950,0,47950,MISMATCH,""
7918,39975,0,39975,MISMATCH,""
7754,14575,0,14575,MISMATCH,"PAID WHOLE SESSION FEES"
7766,14575,0,14575,MISMATCH,""
7901,39950,0,39950,MISMATCH,""
7902,39950,0,39950,MISMATCH,""
7907,40000,0,40000,MISMATCH,""
7913,39950,0,39950,MISMATCH,""
7909,39950,0,39950,MISMATCH,""
7908,39950,0,39950,MISMATCH,""
