Recovery Reconciliation Logs - 2026-04-15T14:33:43.917Z
Mode: LIVE

[SUCCESS] CC: 4594 | Receivable: 12975 | DB Total: 12975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5178 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5313 | Receivable: 13775 | DB Total: 13775 | Match: (EXACT MATCH)
[SUCCESS] CC: 5827 | Receivable: 5392 | DB Total: 5392 | Match: (EXACT MATCH)
[MISMATCH] CC: 7584 | Receivable: 9550 | DB Sum: 19100 | Diff: -9550
[SUCCESS] CC: 4188 | Receivable: 12975 | DB Total: 12975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4330 | Receivable: 3893 | DB Total: 3893 | Match: (EXACT MATCH)
[SUCCESS] CC: 5063 | Receivable: 12975 | DB Total: 12975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6318 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6616 | Receivable: 15975 | DB Total: 15975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7252 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7419 | Receivable: 14975 | DB Total: 14975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7622 | Receivable: 9550 | DB Total: 9550 | Match: (EXACT MATCH)
[SUCCESS] CC: 7697 | Receivable: 12575 | DB Total: 12575 | Match: (EXACT MATCH)
[SUCCESS] CC: 7703 | Receivable: 12975 | DB Total: 12975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7724 | Receivable: 12575 | DB Total: 12575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4132 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4338 | Receivable: 3893 | DB Total: 3893 | Match: (EXACT MATCH)
[SUCCESS] CC: 4354 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4451 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6996 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7356 | Receivable: 13975 | DB Sum: 30125 | Diff: -16150
[MISMATCH] CC: 7582 | Receivable: 10550 | DB Sum: 21100 | Diff: -10550
[SUCCESS] CC: 7590 | Receivable: 9550 | DB Total: 9550 | Match: (EXACT MATCH)
[MISMATCH] CC: 7690 | Receivable: 10000 | DB Sum: 20000 | Diff: -10000
[SUCCESS] CC: 7696 | Receivable: 13575 | DB Total: 13575 | Match: (EXACT MATCH)
[SUCCESS] CC: 4150 | Receivable: 19975 | DB Total: 19975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4181 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4309 | Receivable: 10500 | DB Total: 10500 | Match: (EXACT MATCH)
[SUCCESS] CC: 4784 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4797 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5286 | Receivable: 12975 | DB Total: 12975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6580 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6903 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7307 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7571 | Receivable: 10550 | DB Total: 10550 | Match: (EXACT MATCH)
[SUCCESS] CC: 7591 | Receivable: 10550 | DB Total: 10550 | Match: (EXACT MATCH)
[MISMATCH] CC: 7595 | Receivable: 10550 | DB Sum: 21100 | Diff: -10550
[SUCCESS] CC: 7604 | Receivable: 10550 | DB Total: 10550 | Match: (EXACT MATCH)
[SUCCESS] CC: 3896 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 3923 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4003 | Receivable: 4192 | DB Total: 4192 | Match: (EXACT MATCH)
[SUCCESS] CC: 4178 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4316 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4583 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[MISMATCH] CC: 4929 | Receivable: 13975 | DB Sum: 27950 | Diff: -13975
[SUCCESS] CC: 5882 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[MISSING] CC: 6357 | Receivable: 13975 | Reason: No fees found for 2026-04-01 or earlier.
[SUCCESS] CC: 6737 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6770 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7044 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7071 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7093 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[MISMATCH] CC: 7163 | Receivable: 13975 | DB Sum: 27950 | Diff: -13975
[MISMATCH] CC: 7375 | Receivable: 11975 | DB Sum: 23950 | Diff: -11975
[MISMATCH] CC: 7392 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[SUCCESS] CC: 7412 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4031 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4148 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4290 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[MISMATCH] CC: 4479 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[SUCCESS] CC: 4655 | Receivable: 14975 | DB Total: 14975 | Match: (EXACT MATCH)
[SUCCESS] CC: 4994 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5021 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 5369 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[MISMATCH] CC: 6319 | Receivable: 14975 | DB Sum: 29950 | Diff: -14975
[SUCCESS] CC: 6588 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6724 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 6758 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7052 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7146 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7278 | Receivable: 13975 | DB Total: 13975 | Match: (EXACT MATCH)
[SUCCESS] CC: 7289 | Receivable: 12500 | DB Total: 12500 | Match: (EXACT MATCH)
[SUCCESS] CC: 7290 | Receivable: 12500 | DB Total: 12500 | Match: (EXACT MATCH)
