cc,mtf
4490,F.E
5344,15995
5345,15995
5343,16995
5382,16975
5656,11995
5895,14995
6510,comp
6999,18995
7131,15995
7541,10575
7565,11995
7583,12995
7702,13975
4594,14995
4708,14995
5178,14995
5313,14995
5827,15995
5846,16245
5956,comp
6395,5000
7581,11995
7584,11995
7801,13995
7926,12995
4188,13995
4330,13995
4386,comp
4744,F.E
5063,15995
5092,COMP
5347,19995
5589,15995
6318,15995
6608,F.E
6616,16995
7252,15995
7277,13995
7419,15995
7622,11995
7697,14995
7703,14995
7724,14995
7752,13995
7871,COMP
4132,14995
4338,14995
4354,14995
4451,14995
5213,14995
5346,28292
5952,14995
6860,14995
6996,14995
7356,14995
7582,13995
7590,13995
7642,13995
7690,13995
7696,15995
7774,F.E
7779,14995
7849,16575
7840,13575
4150,14995
4181,14995
4276,COMP
4307,16995
4309,13995
4340,F.E
4784,14995
4797,14995
5286,14995
6121,14995
6486,13995
6580,14995
6635,F.E
6764,COMP
6903,14995
7077,14995
7307,14995
7571,13995
7591,12995
7595,12995
7604,12995
7632,12995
7760,F.E
7775,15595
7780,14995
7816,13995
7832,14995
7842,20515
